Movie	Release_date	Language	Runtime	Budget	Revenue
Mr. Holmes	July 17, 2015	 English	1h 43m		$29,355,203.00
The Good Dinosaur	November 25, 2015	 English	1h 33m	$175,000,000.00	$331,926,147.00
The Good Dinosaur	November 25, 2015	 English	1h 33m	$175,000,000.00	$331,926,147.00
The Man from U.N.C.L.E.	August 14, 2015	 English	1h 56m	$75,000,000.00	$108,145,109.00
The Gift	July 30, 2015	 English	1h 48m	$5,000,000.00	$58,978,653.00
Insidious: Chapter 3	June  5, 2015	 English	1h 37m	$10,000,000.00	$104,303,851.00
Dragon Ball Z: Resurrection 'F'	August  4, 2015	 Japanese	1h 33m	$5,000,000.00	$61,768,190.00
Maggie	May  8, 2015	 English	1h 35m	$4,000,000.00	$187,112.00
Carol	September  4, 2015	 English	1h 58m		$40,272,135.00
Home	March 27, 2015	 English	1h 34m	$135,000,000.00	$368,871,007.00
Burnt	October 23, 2015	 English	1h 40m	$20,000,000.00	$36,606,743.00
Alvin and the Chipmunks: The Road Chip	December 12, 2015	 English	1h 32m		$233,755,553.00
Vacation	July 29, 2015	 English	1h 39m	$31,000,000.00	$104,384,188.00
Daddy's Home	December 25, 2015	 English	1h 36m	$50,000,000.00	$242,786,137.00
No Escape	August 26, 2015	 English	1h 43m	$5,000,000.00	$54,418,872.00
Ip Man 3	January 22, 2016	 Cantonese	1h 45m	$36,000,000.00	$156,844,753.00
Spy	June  5, 2015	 English	2h 0m	$65,000,000.00	$235,666,219.00
Victor Frankenstein	November 10, 2015	 English	1h 49m	$40,000,000.00	$34,227,298.00
Tale of Tales	September  4, 2015	 Italian	2h 14m	$12,000,000.00	
The Visit	September 11, 2015	 English	1h 34m	$5,000,000.00	$98,450,062.00
The Last Witch Hunter	October 23, 2015	 English	1h 46m	$90,000,000.00	$146,936,910.00
The Longest Ride	April 10, 2015	 English	2h 8m	$34,000,000.00	$63,013,281.00
Concussion	December 25, 2015	 English	2h 3m	$35,000,000.00	$50,363,790.00
Concussion	December 25, 2015	 English	2h 3m	$35,000,000.00	$50,363,790.00
Bone Tomahawk	October  1, 2015	 English	2h 12m	$1,800,000.00	
Crimson Peak	September 25, 2015	 English	1h 59m	$55,000,000.00	$74,679,822.00
Joy	December 13, 2015	 English	2h 4m	$60,000,000.00	$101,134,059.00
Point Break	December 25, 2015	 English	1h 54m	$105,000,000.00	$133,718,711.00
The Little Prince	February  3, 2016	 English	1h 48m	$64,000,000.00	$97,571,250.00
Knock Knock	January 23, 2015	 English	1h 39m	$2,500,000.00	$6,341,684.00
The Age of Adaline	April 24, 2015	 English	1h 52m	$25,000,000.00	$65,663,276.00
Unfriended	March 13, 2015	 English	1h 22m	$1,000,000.00	$62,882,090.00
Bridge of Spies	October 16, 2015	 English	2h 21m	$40,000,000.00	$165,478,348.00
The Lobster	September 27, 2015	 English	1h 58m	$4,000,000.00	$15,656,193.00
The Walk	October  2, 2015	 English	2h 3m	$35,000,000.00	$61,181,942.00
Steve Jobs	September  5, 2015	 English	2h 2m	$30,000,000.00	$34,441,873.00
Hardcore Henry	March 13, 2016	 English	1h 37m	$10,000,000.00	$14,333,790.00
The Big Short	November 12, 2015	 English	2h 11m	$28,000,000.00	$133,346,506.00
Legend	October 29, 2015	 English	2h 11m	$25,000,000.00	$42,972,994.00
The Dressmaker	October  1, 2015	 English	1h 58m	$11,930,000.00	$18,340,000.00
Me and Earl and the Dying Girl	January 25, 2015	 English	1h 45m		
The Intern	September 25, 2015	 English	2h 1m	$35,000,000.00	$194,564,672.00
Paper Towns	July 24, 2015	 English	1h 49m	$12,000,000.00	$85,512,300.00
Sinister 2	August 21, 2015	 English	1h 37m	$10,000,000.00	$52,882,018.00
Sinister 2	August 21, 2015	 English	1h 37m	$10,000,000.00	$52,882,018.00
The Invitation	March 13, 2015	 English	1h 40m		$231,737.00
Miss You Already	October 23, 2015	 English	1h 52m		
Careful What You Wish For	June 10, 2016	 English	1h 31m	$8,000,000.00	
Black Mass	September 18, 2015	 English	2h 2m	$53,000,000.00	$98,837,872.00
Secret in Their Eyes	November 20, 2015	 English	1h 51m	$19,500,000.00	$34,854,990.00
Z for Zachariah	August 28, 2015	 English	1h 37m		$121,461.00
Equals	July 15, 2015	 English	1h 41m	$16,000,000.00	$2,084,628.00
Youth	October  3, 2015	 Italian	1h 58m	$13,360,000.00	$2,000,000.00
Solace	December 16, 2016	 English	1h 41m		$22,586,863.00
Borrowed Time	October 31, 2015	 English	0h 7m		
The Transporter Refueled	September  4, 2015	 English	1h 36m	$25,000,000.00	$72,629,670.00
Justice League: Throne of Atlantis	January 27, 2015	 English	1h 12m	$3,500,000.00	
Suburra	October 14, 2015	 Italian	2h 10m	$7,000,000.00	
Shaun the Sheep Movie	January 24, 2015	 English	1h 25m		$59,700,000.00
Descendants	July 31, 2015	 English	1h 52m		
The Peanuts Movie	October 19, 2015	 English	1h 28m	$99,000,000.00	$246,233,113.00
Dragonheart 3: The Sorcerer's Curse	February 24, 2015	 English	1h 37m		
Kung Fury	May 28, 2015	 English	0h 31m	$630,019.00	
Paranormal Activity: The Ghost Dimension	October 23, 2015	 English	1h 28m	$10,000,000.00	$78,096,553.00
Brooklyn	January 26, 2015	 English	1h 51m	$11,000,000.00	$62,076,141.00
Brooklyn	January 26, 2015	 English	1h 51m	$11,000,000.00	$62,076,141.00
Sleeping with Other People	September 11, 2015	 English	1h 40m		$3,214,116.00
Pan	October  9, 2015	 English	1h 51m	$150,000,000.00	$128,388,320.00
Dope	January 24, 2015	 English	1h 43m	$700,000.00	$17,986,781.00
In the Heart of the Sea	December  7, 2015	 English	2h 2m	$100,000,000.00	$93,820,758.00
Dead Rising: Watchtower	March 27, 2015	 English	1h 58m		
A Christmas Horror Story	October  2, 2015	 English	1h 39m		
Minions	July 10, 2015	 English	1h 31m	$74,000,000.00	$1,156,730,962.00
Far from the Madding Crowd	May  1, 2015	 English	1h 59m		$30,229,977.00
Beasts of No Nation	October 16, 2015	 English	2h 17m	$6,000,000.00	$9,077,700.00
The Crew	May  4, 2016	 French	1h 20m		
The DUFF	February 11, 2015	 English	1h 40m	$8,500,000.00	$43,528,634.00
Eye in the Sky	January  7, 2016	 English	1h 42m	$13,000,000.00	$18,704,595.00
Moonwalkers	March 14, 2015	 English	1h 47m		
Trumbo	October 23, 2015	 English	2h 4m	$15,000,000.00	$8,235,661.00
The Gunman	March 20, 2015	 English	1h 55m	$40,000,000.00	$13,644,292.00
Slow West	April 16, 2015	 English	1h 24m		$229,094.00
Summertime	August 19, 2015	 French	1h 45m		
Truth	October 16, 2015	 English	2h 1m	$9,600,000.00	$2,541,554.00
Project Almanac	January 30, 2015	 English	1h 46m	$12,000,000.00	$32,248,241.00
Anomalisa	September  4, 2015	 English	1h 30m	$8,000,000.00	$5,659,286.00
Anomalisa	September  4, 2015	 English	1h 30m	$8,000,000.00	$5,659,286.00
Absolutely Anything	September  4, 2015	 English	1h 25m		$7,200,039.00
Woman in Gold	April 10, 2015	 English	2h 0m	$11,000,000.00	$61,619,773.00
Some Kind of Beautiful	November  6, 2014	 English	1h 39m		
Get Hard	March 27, 2015	 English	1h 40m	$40,000,000.00	$111,811,453.00
Love the Coopers	November 13, 2015	 English	1h 47m	$17,000,000.00	$42,426,912.00
Aloha	May 29, 2015	 English	1h 45m	$37,000,000.00	$26,250,020.00
Last Knights	April  3, 2015	 English	1h 55m		$3,643,591.00
Momentum	August  1, 2015	 English	1h 36m	$20,000,000.00	$133,332.00
Look Who's Back	April  9, 2016	 German	1h 56m	$3,196,621.00	$25,513,752.00
Hot Pursuit	May  8, 2015	 English	1h 27m	$35,000,000.00	$51,680,201.00
Everly	September 20, 2014	 English	1h 30m		
Focus	February 27, 2015	 English	1h 45m	$50,100,000.00	$153,962,963.00
The Final Girls	March 13, 2015	 English	1h 31m		
Dragon Blade	September  4, 2015	 Chinese	2h 7m	$65,000,000.00	$121,545,703.00
Baahubali: The Beginning	July 10, 2015	 Telugu	2h 38m	$40,000,000.00	$100,000,000.00
I Spit on Your Grave III: Vengeance is Mine	October  9, 2015	 English	1h 31m		
Knight of Cups	March  4, 2016	 English	1h 58m		$566,006.00
The Program	October  8, 2015	 English	1h 43m		$3,286,448.00
Belle and Sebastian: The Adventure Continues	December  7, 2015	 French	1h 37m		
One Wild Moment	September  4, 2015	 French	1h 45m		
One Wild Moment	September  4, 2015	 French	1h 45m		
Scouts Guide to the Zombie Apocalypse	October 30, 2015	 English	1h 33m	$15,000,000.00	$14,860,766.00
The 33	October 24, 2015	 English	2h 0m	$25,000,000.00	$24,902,723.00
Babysitting 2	December  2, 2015	 French	1h 33m		
Irrational Man	July 17, 2015	 English	1h 35m	$11,000,000.00	$27,391,084.00
A Walk in the Woods	September  2, 2015	 English	1h 44m	$8,000,000.00	$35,991,087.00
A Little Chaos	June 26, 2015	 English	1h 57m		
The Gallows	July 10, 2015	 English	1h 27m	$100,000.00	$42,664,410.00
We Are Your Friends	August 28, 2015	 English	1h 36m	$6,000,000.00	$11,122,090.00
Spare Parts	January 16, 2015	 English	1h 23m		
Spooks: The Greater Good	December  4, 2015	 English	1h 44m		$1,473,809.00
Rock the Kasbah	October 23, 2015	 English	1h 40m	$15,000,000.00	$3,020,664.00
Frozen Fever	March 13, 2015	 English	0h 8m		
The Boy and the Beast	November  7, 2015	 Japanese	1h 59m		$490,643.00
Mustang	November 20, 2015	 Turkish	1h 37m	$1,300,000.00	$250,000.00
Hot Tub Time Machine 2	February 20, 2015	 English	1h 33m	$14,000,000.00	$12,314,651.00
Mune: Guardian of the Moon	August 12, 2017	 French	1h 26m		$15,730,665.00
The SpongeBob Movie: Sponge Out of Water	February  6, 2015	 English	1h 33m	$74,000,000.00	$311,594,032.00
Max	June 26, 2015	 English	1h 51m	$20,000,000.00	$43,967,255.00
Zipper	August 28, 2015	 English	1h 43m		
The Benefactor	April 17, 2015	 English	1h 30m		
The Benefactor	April 17, 2015	 English	1h 30m		
McFarland, USA	February 20, 2015	 English	2h 8m		$45,710,059.00
Macbeth	December  4, 2015	 English	1h 53m	$15,000,000.00	$12,601,706.00
The Scorpion King: Quest for Power	January 21, 2015	 English	1h 45m		
The Human Centipede 3 (Final Sequence)	May 22, 2015	 English	1h 43m		
By the Sea	November  5, 2015	 English	2h 2m	$10,000,000.00	$3,727,746.00
Freaks of Nature	October 30, 2015	 English	1h 32m		$70,958.00
Regression	February  5, 2016	 English	1h 46m		$17,671,101.00
Love & Mercy	March 15, 2015	 English	2h 0m		$28,641,776.00
Open Season: Scared Silly	March  8, 2016	 English	1h 25m		
Tales of Halloween	October 16, 2015	 English	1h 30m		
The Brand New Testament	December 25, 2015	 French	1h 45m	$8,555,500.00	
The Wave	October  9, 2015	 Norwegian	1h 44m	$5,904,067.00	$12,975,143.00
Suffragette	September  4, 2015	 English	1h 46m	$14,000,000.00	$16,002,420.00
Dheepan	May 21, 2015	 French	1h 55m		$248,392.00
Dark Places	July 29, 2015	 English	1h 53m	$20,000,000.00	$208,588.00
Kidnapping Mr. Heineken	March 26, 2015	 English	1h 35m		$2,633,527.00
The Spirit of Christmas	December 19, 2015	 English	1h 24m		
Ricki and the Flash	August  7, 2015	 English	1h 40m	$18,000,000.00	$41,325,328.00
The Second Best Exotic Marigold Hotel	March  6, 2015	 English	2h 2m	$10,000,000.00	$85,978,266.00
Victoria	April 10, 2015	 German	2h 18m		$3,191,998.00
Victoria	April 10, 2015	 German	2h 18m		$3,191,998.00
Battle for Sevastopol	April 18, 2015	 Russian	1h 50m	$5,000,000.00	
I Am Dragon	December  4, 2015	 Russian	1h 50m	$18,000,000.00	$1,776,333.00
Synchronicity	January 22, 2016	 English	1h 41m		$4,505.00
The Perfect Guy	September 11, 2015	 English	1h 40m	$12,000,000.00	$60,273,173.00
Madame Bovary	August 30, 2014	 English	1h 58m		
American Ultra	August 21, 2015	 English	1h 36m	$28,000,000.00	$27,139,524.00
Hell & Back	October  2, 2015	 English	1h 26m		$157,768.00
7 Days in Hell	July 11, 2015	 English	0h 43m		
The Runner	August  7, 2015	 English	1h 30m	$6,000,000.00	
San Andreas Quake	May 19, 2015	 English	1h 30m		
Where to Invade Next	October  2, 2015	 English	2h 1m		$3,820,195.00
The Escort	June 15, 2016	 English	1h 28m		
Extraction	December 18, 2015	 English	1h 23m		$16,775.00
Barely Lethal	April 30, 2015	 English	1h 36m		$6,075.00
Sharknado 3: Oh Hell No!	July 22, 2015	 English	1h 28m		
My King	October 21, 2015	 French	2h 10m		$282,000.00
Louder Than Bombs	May 18, 2015	 English	1h 49m	$11,000,000.00	$161,789.00
Son of Saul	December 18, 2015	 Hungarian	1h 47m	$1,000,000.00	$1,777,043.00
Heist	November 13, 2015	 English	1h 33m	$8,900,000.00	$4,100,000.00
The Assassin	October  9, 2015	 Chinese	1h 45m	$15,000,000.00	$632,542.00
The Assassin	October  9, 2015	 Chinese	1h 45m	$15,000,000.00	$632,542.00
Land of Mine	January 22, 2016	 Danish	1h 40m	$5,070,773.00	
The Ridiculous 6	December 11, 2015	 English	1h 59m	$60,000,000.00	
Pokémon the Movie: Hoopa and the Clash of Ages	December 19, 2015	 Japanese	1h 13m	$150,000,000.00	
The Hallow	January 25, 2015	 English	1h 37m		
Forsaken	February 19, 2016	 English	1h 30m	$11,000,000.00	
Boruto: Naruto the Movie	August  7, 2015	 Japanese	1h 40m		
The Second Mother	January 25, 2015	 Portuguese	1h 50m		
The End of the Tour	January 23, 2015	 English	1h 46m		$3,002,884.00
Life	December  4, 2015	 English	1h 52m	$12,000,000.00	
45 Years	December 23, 2015	 English	1h 35m		$4,250,507.00
The Vatican Tapes	July 24, 2015	 English	1h 31m	$13,000,000.00	$1,784,763.00
Home Sweet Hell	March 13, 2015	 English	1h 38m	$3,000,000.00	
The Lady in the Van	December  4, 2015	 English	1h 44m	$6,000,000.00	$41,387,687.00
Amy	July 10, 2015	 English	2h 8m		$8,413,144.00
Criminal Activities	November 20, 2015	 English	1h 34m	$7,000,000.00	
Ooops! Noah is Gone...	July  1, 2015	 English	1h 25m	$6,000,000.00	
Ratter	January 24, 2015	 English	1h 20m	$500,000.00	
The Lazarus Effect	February 27, 2015	 English	1h 23m	$3,300,000.00	$64,110,728.00
Curve	October 14, 2015	 English	1h 26m		
Unfinished Business	March  6, 2015	 English	1h 31m	$35,000,000.00	$14,431,253.00
Unfinished Business	March  6, 2015	 English	1h 31m	$35,000,000.00	$14,431,253.00
Song One	January 20, 2014	 English	1h 26m	$6,000,000.00	$32,251.00
The Great Gilly Hopkins	October  7, 2016	 English	1h 39m	$5,000,000.00	
Extinction	August  7, 2015	 English	1h 50m		
Alex of Venice	April 18, 2014	 English	1h 26m		
The Blackcoat's Daughter	September 24, 2015	 English	1h 33m		$19,980.00
Yongju Valley	November 19, 2015	 Korean			
Ever Been to the Moon?	January 22, 2015	 Italian	1h 30m		
High-Rise	September 26, 2015	 English	1h 59m		$346,472.00
Going Clear: Scientology and the Prison of Belief	January 25, 2015	 English	1h 59m		
Jane Got a Gun	January 29, 2016	 English	1h 38m	$25,000,000.00	$1,397,284.00
The Survivalist	April 15, 2015	 English	1h 44m		
6 Years	August 18, 2015	 English	1h 24m		
The Diary of a Teenage Girl	January 24, 2015	 English	1h 38m	$2,000,000.00	$1,477,002.00
Wolf Totem	September 11, 2015	 Chinese	1h 56m	$38,000,000.00	$123,205,624.00
The Last Will Be the Last	November 12, 2015	 Italian	1h 43m		
Heidi	December 10, 2015	 German	1h 51m	$8,800,000.00	
Exeter	March 26, 2015	 English	1h 31m		
Circle	May 28, 2015	 English	1h 27m		
The Stanford Prison Experiment	January 26, 2015	 English	2h 2m		$643,557.00
Serial Killer 1	August 24, 2014	 French	2h 0m	$5,290,000.00	
Serial Killer 1	August 24, 2014	 French	2h 0m	$5,290,000.00	
Monster Hunt	July 26, 2015	 Chinese	1h 51m		
Holding the Man	August 27, 2015	 English	2h 8m		
Danny Collins	March 20, 2015	 English	1h 47m	$10,000,000.00	$10,835,752.00
Pressure	June 12, 2015	 English	1h 31m		
We Are Still Here	June  5, 2015	 English	1h 24m		
The Student and Mister Henri	May 19, 2016	 French	1h 40m		
Belli di papà	October 29, 2015	 Italian	1h 40m		
Tremors 5: Bloodlines	October  6, 2015	 English	1h 39m		
Sisters	December 18, 2015	 English	1h 58m	$30,000,000.00	$105,011,053.00
A Man Called Ove	April 26, 2016	 Swedish	1h 56m		$3,371,692.00
Into the Grizzly Maze	June 26, 2015	 English	1h 34m	$10,000,000.00	
Hot Girls Wanted	May 29, 2015	 English	1h 24m		
Queen of the Desert	March  1, 2016	 English	2h 8m	$15,000,000.00	
X+Y	September 11, 2015	 English	1h 51m		
He Never Died	March 17, 2015	 English	1h 39m		
True Story	January 23, 2015	 English	1h 40m		$4,719,695.00
Bound to Vengeance	June 26, 2015	 English	1h 20m		
Invisible Sister	October  9, 2015	 English	1h 17m		
Back in Time	October 20, 2015	 English	1h 35m	$190,000.00	
Our Brand Is Crisis	October 30, 2015	 English	1h 48m	$28,000,000.00	$7,002,261.00
Our Brand Is Crisis	October 30, 2015	 English	1h 48m	$28,000,000.00	$7,002,261.00
Retribution	September  2, 2015	 Castilian	1h 41m	$4,670,099.00	
The Measure of a Man	March 16, 2015	 French	1h 33m		$106,498.00
Kill Me Three Times	March  4, 2015	 English	1h 30m		
The Painted House	December  4, 2015	 Malayalam	1h 41m		
Air	August 14, 2015	 English	1h 34m		
Lost River	April 10, 2015	 English	1h 35m	$2,000,000.00	$45,431.00
The Diabolical	March 16, 2015	 English	1h 26m		
The Atticus Institute	January 20, 2015	 English	1h 32m		
A Bigger Splash	December 20, 2015	 English	2h 5m		$7,545,758.00
While We're Young	September 28, 2014	 English	1h 37m	$10,000,000.00	$7,587,485.00
Marguerite	September  5, 2015	 French	2h 7m		$497,323.00
Hello, My Name Is Doris	March 14, 2015	 English	1h 35m	$1,000,000.00	$14,444,999.00
Strangerland	July 10, 2015	 English	1h 51m	$10,000,000.00	$17,472.00
Little Boy	April 23, 2015	 English	1h 46m	$20,000,000.00	$6,485,961.00
Ronaldo	November  9, 2015	 English	1h 32m		
Batman vs. Robin	April 14, 2015	 English	1h 12m		
Final Girl	August 14, 2015	 English	1h 30m		
The Sense of Wonder	December 16, 2015	 French	1h 40m		
Results	May 29, 2015	 English	1h 45m		$104,507.00
Fathers and Daughters	January 13, 2016	 English	1h 56m	$2,240,000.00	
Fathers and Daughters	January 13, 2016	 English	1h 56m	$2,240,000.00	
Tangerine	January 23, 2015	 English	1h 27m	$100,000.00	$924,793.00
Brother Bajrangi	July 17, 2015	 Hindi	2h 43m	$14,000,000.00	$98,000,000.00
Mississippi Grind	August 13, 2015	 English	1h 48m		$130,541.00
A Royal Night Out	September  7, 2015	 English	1h 37m		$228,136.00
The Ones Below	May 27, 2016	 English	1h 27m		$12,488.00
The Boy Next Door	January 23, 2015	 English	1h 31m	$4,000,000.00	$52,425,855.00
Mistress America	January 24, 2015	 English	1h 24m		$2,500,431.00
Lolo	March 11, 2016	 French	1h 39m		$24,134.00
Justice League: Gods and Monsters	July 28, 2015	 English	1h 16m		
Man Up	April 19, 2015	 English	1h 28m		
Experimenter	October 16, 2015	 English	1h 37m		
Deep Web	March 15, 2015	 English	1h 29m		
Advantageous	June 23, 2015	 English	1h 32m		
Pawn Sacrifice	September 18, 2015	 English	1h 55m	$19,000,000.00	$5,578,519.00
400 Days	January 12, 2016	 English	1h 31m		
Tomorrow	December  2, 2015	 French	1h 58m		$43,471.00
The Exorcism of Molly Hartley	October  9, 2015	 English			
The Club	October 19, 2015	 Castilian	1h 37m		$52,761.00
Hidden	September 15, 2015	 English	1h 23m		
Desierto	October 14, 2016	 English	1h 39m		
Desierto	October 14, 2016	 English	1h 39m		
Ashby	April 19, 2015	 English	1h 42m		$4,631.00
Wolf Warrior	April  2, 2015	 Chinese	1h 30m	$12,000,000.00	$80,000,000.00
Serial Teachers 2	July  1, 2015	 French	1h 33m		
Antigang	July 31, 2016	 French	1h 32m		
Janis: Little Girl Blue	November 27, 2015	 English	1h 46m		
The Wolfpack	January 25, 2015	 English	1h 29m		$1,301,696.00
Howl	October  1, 2015	 English	1h 29m		
Palm Trees in the Snow	March  1, 2016	 Castilian	2h 44m	$11,332,619.00	
She's Funny That Way	August 21, 2015	 English	1h 33m		$111,996.00
Full Out	September 11, 2015	 English	1h 34m	$1,500,000.00	
Pound of Flesh	May  7, 2015	 English	1h 44m	$7,500,000.00	
Our Little Sister	November 10, 2015	 Japanese	2h 8m		$346,485.00
Tiger House	November  3, 2015	 English	1h 20m		
Sanjay's Super Team	September 27, 2015	 English	0h 7m		
You Can't Save Yourself Alone	March  5, 2015	 Italian	1h 43m		
I Kissed a Girl	January 28, 2015	 French	1h 38m		
Don't Be Bad	September  8, 2015	 Italian	1h 40m		
Jem and the Holograms	October 23, 2015	 English	1h 59m	$5,000,000.00	$2,333,684.00
SPL 2: A Time for Consequences	June 18, 2015	 Cantonese	2h 0m		
War Room	August 28, 2015	 English	2h 0m	$3,000,000.00	$67,790,117.00
War Room	August 28, 2015	 English	2h 0m	$3,000,000.00	$67,790,117.00
Born to Be Blue	June  9, 2016	 English	1h 37m		$830,129.00
Assassination	July 22, 2015	 Korean	2h 20m		
Io che amo solo te	October 22, 2015	 English	1h 42m		
Freeheld	October  2, 2015	 English	1h 43m	$7,000,000.00	$573,335.00
Empire of Lust	March  5, 2015	 Korean	1h 53m		
World of Tomorrow	January 22, 2015	 English	0h 17m		
The D Train	January 23, 2015	 English	1h 41m	$447,524.00	$771,317.00
The Dead Room	April  8, 2016	 English	1h 20m	$1,000,000.00	
Area 51	May 15, 2015	 English	1h 31m	$5,000,000.00	$7,556.00
Human	September 11, 2015	 French	4h 23m	$13,000,000.00	
Lila & Eve	July 31, 2015	 English	1h 34m		
Mia Madre	April 16, 2015	 Italian	1h 46m		
Turbo Kid	August 28, 2015	 English	1h 35m		$67,132.00
I Am a Hero	March 23, 2015	 Japanese	2h 6m		
Dilwale	December 18, 2015	 Hindi	2h 38m	$26,000,000.00	$61,000,000.00
The True Cost	May 29, 2015	 English	1h 32m		
Blind Date	April  7, 2016	 French	1h 30m		
Cobain: Montage of Heck	January 24, 2015	 English	2h 12m		
Blackway	October  3, 2015	 English	1h 30m	$8,000,000.00	$16,458.00
Naomi and Ely's No Kiss List	September 18, 2015	 English	1h 29m		
Naomi and Ely's No Kiss List	September 18, 2015	 English	1h 29m		
The New Adventures of Aladdin	October 14, 2015	 French	1h 47m		
Robot Overlords	July  3, 2015	 English	1h 30m	$21,000,000.00	
Purpose of Reunion	August  6, 2015	 Korean	1h 40m		
Steve Jobs: The Man in the Machine	September  4, 2015	 English	2h 9m		$494,506.00
Italiano medio	January 29, 2015	 Italian	1h 30m	$1,816,720.00	$4,541,800.00
Daddy or Mommy	August 24, 2015	 French	1h 25m		
Visions	October 27, 2015	 English	1h 20m		
Cop Car	January 24, 2015	 English	1h 26m		$134,552.00
Good Kill	May 15, 2015	 English	1h 44m		$316,472.00
Pay the Ghost	September 25, 2015	 English	1h 34m		$2,160,298.00
The Overnight	June 19, 2015	 English	1h 20m		$1,100,000.00
Un + une	December  9, 2015	 French	1h 55m		
Demonic	March 28, 2015	 English	1h 23m	$3,000,000.00	$3,387,000.00
Bravetown	May  8, 2015	 English	1h 52m		
Minimalism: A Documentary About the Important Things	March 16, 2016	 English	1h 19m		
Return to Sender	May 31, 2015	 English	1h 35m		
The Corpse of Anna Fritz	March 15, 2015	 Castilian	1h 16m		
What Happened, Miss Simone?	January 22, 2015	 English	1h 41m		
Superfast!	April  2, 2015	 English	1h 39m	$20,000,000.00	
Southbound	February  5, 2016	 English	1h 29m		$23,665.00
Southbound	February  5, 2016	 English	1h 29m		$23,665.00
Capture the Flag	December  4, 2015	 Castilian	1h 34m	$14,000,000.00	$8,306,690.00
Alaska	November  5, 2015	 Italian	2h 5m		
Embrace of the Serpent	September 26, 2015	 Castilian	2h 5m	$1,400,000.00	$1,320,005.00
All Three of Us	November  4, 2015	 French			
4th Man Out	May 30, 2015	 English	1h 26m		
Murder, She Baked: A Plum Pudding Murder Mystery	November 15, 2015	 English	1h 24m		
Bad Asses on the Bayou	March  6, 2015	 English	1h 25m	$5,300,000.00	
Captive	September 18, 2015	 English	1h 37m	$2,000,000.00	$2,801,508.00
Tumbledown	April 18, 2015	 English	1h 45m		$135,026.00
The Lure	January 22, 2016	 Polish	1h 33m	$1,300,000.00	$102,986.00
Strange Magic	January 23, 2015	 English	1h 39m		$13,603,453.00
The Legendary Giulia and Other Miracles	February 19, 2015	 Italian	1h 55m		
Deathgasm	October  2, 2015	 English	1h 26m		
Les Dissociés	November 24, 2015	 French	1h 15m		
The Sisterhood of Night	October 18, 2014	 English	1h 44m		
Manglehorn	March 14, 2015	 English	1h 37m	$4,000,000.00	$143,101.00
Ghost in the Shell: The New Movie	November 10, 2015	 Japanese	1h 40m		$101,203.00
Remember	March 11, 2016	 English	1h 34m		$1,986,615.00
Off Course	March  3, 2015	 Castilian	1h 44m		
Riley's First Date?	November  3, 2015	 English	0h 5m		
Riley's First Date?	November  3, 2015	 English	0h 5m		
Grandma	January 30, 2015	 English	1h 18m	$600,000.00	$7,087,452.00
Sweet Bean	May 14, 2015	 Japanese	1h 53m		$124,518.00
Joe Dirt 2: Beautiful Loser	July 16, 2015	 English	1h 47m		
Walt Before Mickey	April  3, 2015	 English	2h 0m		
Kill Your Friends	April  1, 2016	 English	1h 40m		
Why I Did (Not) Eat My Father	April  8, 2015	 French	1h 40m		
The Silenced	June 18, 2015	 Korean	1h 39m		
Attack on Titan II: End of the World	September  1, 2015	 Japanese	1h 27m		
Ma che bella sorpresa	March 11, 2015	 Italian			
A Very Murray Christmas	December  4, 2015	 English	0h 56m		
Drishyam	July 31, 2015	 Hindi	2h 43m		
Mythica: The Necromancer	December 19, 2015	 English	1h 33m		
Attack on Titan	September 30, 2015	 Japanese	1h 38m		
April and the Extraordinary World	January 30, 2016	 French	1h 43m		
To Write Love on Her Arms	March 13, 2015	 English	1h 58m	$3,400,000.00	
Buddy's Mom	November 12, 2015	 Korean	1h 41m		
Staten Island Summer	June 30, 2015	 English	1h 48m		
Backcountry	March 20, 2015	 English	1h 32m		
The Beauty Inside	August 20, 2015	 Korean	2h 7m		$108,083.00
Tamasha	November 27, 2015	 Hindi	2h 19m		
Tamasha	November 27, 2015	 Hindi	2h 19m		
Miles Ahead	October 10, 2015	 English	1h 40m		$3,460,466.00
A Girl Like Her	March 27, 2015	 English	1h 31m		
Standing Tall	May 13, 2015	 French	1h 59m	$5,000,000.00	$26,144.00
A War	February 12, 2016	 Danish	1h 55m		$1,113,277.00
Spy Time	September  4, 2015	 Castilian			
Every Thing Will Be Fine	December  4, 2015	 English	1h 58m		$8,034.00
God Willing	April  9, 2015	 Italian	1h 27m		
Cyberbully	January 15, 2015	 English	1h 2m		
Torno indietro e cambio vita	June 18, 2015	 Italian			
Family For Rent	August 19, 2015	 French	1h 37m		
A Christmas Star	December  1, 2015	 English	1h 22m		
My All American	November 10, 2015	 English	1h 58m	$20,000,000.00	
Those People	May 16, 2015	 English	1h 29m		
Them who?	November 19, 2015	 Italian	1h 35m		
We Accept Miracles	January  2, 2015	 Italian	1h 50m		
Boy 7	February 19, 2015	 Flemish	1h 30m		
Windstorm 2	May 14, 2015	 German	1h 43m		
Soaked in Bleach	June 11, 2015	 English	1h 40m		
Backtrack	April 18, 2015	 English	1h 30m		
Disorder	September 30, 2015	 French	1h 40m		$39,687.00
Disorder	September 30, 2015	 French	1h 40m		$39,687.00
The Roommates Party	December 23, 2015	 French	1h 42m		
3-Headed Shark Attack	July 20, 2015	 English	1h 30m		
Mojin: The Lost Legend	December 28, 2015	 Chinese	2h 7m	$37,000,000.00	$278,300,000.00
